URL,Suburb ,Postcode,Address,Latitude,Longitude,Bedroom,Bathroom ,Type ,Car Park space,Last sold date,Land size,Land size unit,Y = Sold price
property-unit-vic-reservoir-150178972,Reservoir,3073,1/30 Ashley Street,-37.71713453,145.0024269,2,1,unit,1,2026-02-23,91,m2,"$502,355"
property-house-vic-reservoir-150102720,Reservoir,3073,39 Gellibrand Crescent,-37.705442,145.004125,3,1,house,2,2026-02-21,916,m2,"$1,220,000"
property-house-vic-reservoir-150128404,Reservoir,3073,3 Best Street,-37.714518,144.996734,4,1,house,2,2026-02-21,624,m2,"$1,177,000"
property-house-vic-reservoir-150114016,Reservoir,3073,15 Grimwade Street,-37.703167,145.004957,3,2,house,2,2026-02-21,891,m2,"$1,170,000"
property-house-vic-reservoir-150136284,Reservoir,3073,12 Verdun Grove,-37.727964,145.0015,2,1,house,3,2026-02-21,,,"$1,060,000"
property-house-vic-reservoir-150136412,Reservoir,3073,9 Faye Street,-37.726528,145.027011,3,2,house,2,2026-02-21,,,"$920,000"
property-house-vic-reservoir-150119204,Reservoir,3073,2 Lawley Street,-37.706924,144.992152,2,1,house,3,2026-02-21,,,"$755,000"
property-unit-vic-reservoir-150113248,Reservoir,3073,2/121 Broadhurst Avenue,-37.7076669,144.9934257,2,1,unit,1,2026-02-21,,,"$710,000"
property-house-vic-reservoir-150099180,Reservoir,3073,60 Seston Street,-37.728275,145.034708,3,1,house,2,2026-02-21,329,m2,"$640,000"
property-unit-vic-reservoir-150113484,Reservoir,3073,4/75 Barton Street,-37.71149473,145.0013691,1,1,unit,1,2026-02-21,,,"$450,000"
property-house-vic-reservoir-149632504,Reservoir,3073,31A Locksley Avenue,-37.722912,144.993785,4,3,house,2,2026-02-20,280,m2,"$1,400,000"
property-unit-vic-reservoir-150100920,Reservoir,3073,1A Wattlebrae Street,-37.719234,144.989119,1,1,unit,1,2026-02-19,,,"$486,000"
property-townhouse-vic-reservoir-150134024,Reservoir,3073,1/13 McCrae Street,-37.70523348,145.0102049,2,1,townhouse,1,2026-02-18,190,m2,"$770,000"
property-unit-vic-reservoir-150058012,Reservoir,3073,4/66 Dundee Street,-37.70266923,145.0249278,2,1,unit,1,2026-02-18,,,"$445,000"
property-unit-vic-reservoir-149669004,Reservoir,3073,2/10 Dorrington Avenue,-37.7267195,145.0258468,2,1,unit,2,2026-02-17,240,m2,"$645,000"
property-townhouse-vic-reservoir-150188940,Reservoir,3073,1/83-85 Howard Street,-37.71910791,145.0088772,2,1,townhouse,1,2026-02-16,,,"$738,000"
property-house-vic-reservoir-149920528,Reservoir,3073,43 Seston Street,-37.72923413,145.034169,4,2,house,2,2026-02-14,,,"$870,000"
property-townhouse-vic-reservoir-150113256,Reservoir,3073,1/148 Boldrewood Parade,-37.71213058,145.0229625,3,2,townhouse,2,2026-02-14,248,m2,"$840,000"
property-townhouse-vic-reservoir-149920776,Reservoir,3073,3/146 North Road,-37.72208732,145.0125527,2,2,townhouse,2,2026-02-14,,,"$810,000"
property-unit-vic-reservoir-150048888,Reservoir,3073,3/13 Nisbett Street,-37.72833412,145.0351972,2,1,unit,1,2026-02-14,,,"$595,000"
property-unit-vic-reservoir-150025236,Reservoir,3073,1/17 Dundee Street,-37.70346674,145.0199192,1,1,unit,1,2026-02-13,,,"$445,000"
property-unit-vic-reservoir-149713588,Reservoir,3073,3/5 Smith Street,-37.70298618,145.0116185,3,1,unit,1,2026-02-12,,,"$630,000"
