URL,primary_school,secondary_school,preschool,train_station
property-house-vic-oakleigh-147493208,6.0,0.0,4.0,4.0
property-house-vic-oakleigh-147509300,7.0,0.0,4.0,4.0
property-house-vic-oakleigh-147551936,7.0,0.0,4.0,4.0
property-house-vic-oakleigh-147586456,5.0,0.0,3.0,1.0
property-house-vic-oakleigh-147639092,7.0,0.0,1.0,4.0
property-house-vic-oakleigh-147755692,7.0,0.0,5.0,4.0
property-house-vic-oakleigh-147906948,6.0,0.0,5.0,2.0
property-house-vic-oakleigh-147920956,6.0,0.0,6.0,2.0
property-house-vic-oakleigh-147945000,6.0,0.0,4.0,4.0
property-house-vic-oakleigh-147957280,6.0,0.0,4.0,4.0
property-house-vic-oakleigh-147963572,6.0,0.0,4.0,4.0
property-house-vic-oakleigh-148132628,6.0,0.0,5.0,2.0
property-house-vic-oakleigh-148297176,7.0,0.0,5.0,2.0
property-house-vic-oakleigh-148362516,6.0,0.0,6.0,2.0
property-house-vic-oakleigh-148477976,6.0,0.0,6.0,2.0
property-house-vic-oakleigh-148479760,7.0,0.0,4.0,2.0
property-house-vic-oakleigh-148588964,6.0,0.0,6.0,2.0
property-house-vic-oakleigh-148623884,6.0,0.0,6.0,2.0
property-house-vic-oakleigh-148637452,7.0,0.0,4.0,4.0
property-house-vic-oakleigh-148639956,7.0,1.0,4.0,4.0
property-house-vic-oakleigh-148727752,7.0,0.0,5.0,3.0
property-house-vic-oakleigh-148747072,7.0,0.0,5.0,4.0
property-house-vic-oakleigh-148794064,6.0,0.0,5.0,2.0
property-house-vic-oakleigh-148844776,7.0,0.0,5.0,2.0
property-house-vic-oakleigh-148870464,7.0,0.0,4.0,2.0
property-house-vic-oakleigh-149006364,7.0,0.0,5.0,2.0
property-house-vic-oakleigh-149046792,6.0,0.0,7.0,2.0
property-house-vic-oakleigh-149059096,8.0,0.0,4.0,2.0
property-house-vic-oakleigh-149160636,6.0,0.0,4.0,4.0
